# Security closure ledger. Verified by scripts/check-closures.sh, which fails
# the build if a named test does not exist, or does not produce a literal
# `--- PASS: <name>` line in the environment its own verification column
# claims.
#
# claim_id	package	proving_test	verification	landed_commit	issue	note
#
# verification is one of:
#   default-ci   the proving test runs and passes in every invocation of this
#                script, no special environment required. A SKIP here is
#                ALWAYS a closure-verification failure.
#   pg-gated     the proving test is gated behind KEYORIX_TEST_PG_DSN (a race
#                that can only be demonstrated against a real multi-connection
#                Postgres, not SQLite/mocks — see
#                internal/core/postgres_contention_helpers_test.go). When this
#                script runs WITHOUT the DSN set (its default invocation, in
#                the adr-numbers job), a SKIP here is expected and does NOT
#                fail the check — there is nothing else that invocation could
#                show. When it runs WITH the DSN set (.github/workflows/ci.yml
#                test-suite job, `core` leg — the one job with a Postgres
#                service container — runs this same script a second time, see
#                that job for why), a SKIP or failure here IS real and DOES
#                fail the check: the DSN is available, so "gated" stops being
#                an excuse. The test's plain EXISTENCE (a real compiled test
#                symbol, not a typo'd/renamed/deleted name) is checked
#                unconditionally either way — a SKIP line only ever appears
#                for a test that exists and ran; "no tests to run" is the
#                separate, always-fatal non-existence case.
#   manual       no automated regression test exists or can exist for this
#                claim; closure rests on a cited artefact instead. `note` MUST
#                cite the artefact precisely enough that a skeptical reader
#                could go look (a file path + line, a PR review comment URL, a
#                dated manual test log — not "verified manually" on its own).
#                This is an ESCAPE HATCH, not a shortcut: "self-reported
#                verification is a claim, not evidence" applies in full here —
#                CI accepts the row because it is honestly labeled unverified,
#                not because anything was proven. Prefer default-ci or
#                pg-gated whenever a real test is possible.
#
# issue is the GitHub issue number this closes (bare, no '#'), or `-` when the
# claim is an internal structural invariant with no single corresponding issue
# (e.g. G01, INV-1) or the note already cites more than one ambiguously
# (FIX-4-sentinel). This column is best-effort cross-referenced by
# scripts/report-unlisted-security-issues.sh against closed issues carrying
# the `security` label — read that script's own header before trusting its
# silence: the label it keys off is empirically under-applied (verified
# 2026-09-08 — #1646, #1780, #1551, and #1572 all carry ZERO labels, including
# the two rows already correctly in this ledger before this column existed),
# so a `-` here or an issue missing from that report's output is not proof
# nothing is owed.
#
# landed_commit is INFORMATIONAL. This repo squash-merges, so ancestry checks
# return false for every correctly landed PR. Closure is verified by test.

G81-KEYPERM-REGISTRY	./internal/keyfiles	TestRegistry_IncludesWrappedKeyPathForEveryWriteCapableType	default-ci	pending	-	TPM/cloud-KMS wrapped-KEK blob must be covered by the shared key-permission checker registry, not just DEK/salt
LASTADMIN-PAT-CONFUSED-DEPUTY	./internal/core	TestGuardLastAdminDeactivation_NotFooledByActingCallersPATRestriction	default-ci	pending	-	IsGlobalAdmin's PAT short-circuit answered a third-party question it wasn't built for; guardLastAdminDeactivation and SuspendInactiveUsers now use targetHasGlobalAdminRole instead
G04-HA-1646	./internal/core	TestConcurrency_AssignUserRole_CrossReplicaPostgres_SoDBypass	pg-gated	37911f8a	1646	SoD direct-grant race across independent Postgres connections: two replicas each pass a stale pre-grant check and both write, live-reproduced; closed by WithNamedLock keyed per target principal
G04-HA-1780	./internal/core	TestConcurrency_GroupRoleGrant_CrossReplicaPostgres_SoDBypass	pg-gated	f306ed7a	1780	SoD group-grant race: a group-role grant and a direct grant to one of its members took different lock keys and never serialized against each other; closed by taking each active member's own lock, ordered, before the group grant's check-then-write
CLI-SECRETTEMPLATE-RCE	./internal/secrettemplate	TestRender_RejectsShellMetacharacters	default-ci	c45a10d0	-	Render's guard only blocked newline/CR/NUL, not shell metacharacters ($(...), backticks, ;|&), enabling RCE if a rendered .env was later sourced; re-verified 2026-09-09 with an end-to-end source attempt
CLI-AUTH-001	./internal/cli/auth	TestRunLogin_ServerFromExistingConfig	default-ci	5158f913	-	runLogin auto-filled the remote server from an untrusted CWD-relative keyorix.yaml with no warning before sending the real API key; re-verified 2026-09-09 via httptest reproduction
G39-DI-STDOUT	./internal/di	TestInitializeApp_DoesNotLeakConfigSecretsToStdout	default-ci	3410c44c	-	InitializeApp() fmt.Println'd the entire config.Config struct (DB password, metrics tokens) to stdout; re-verified 2026-09-09, and the only caller (cmd/secret) was separately deleted as dead code in PR #1659
cli-secret-001	./internal/cli/secret	TestCliSecret001_UpdateEmbeddedMode_EncryptsAtRest	default-ci	76dbc529	-	runUpdate's embedded-mode path bypassed at-rest AES-256-GCM encryption by calling a raw storage/core constructor instead of common.InitializeCoreService(); re-verified 2026-09-09 with red-then-green against the pre-#1395 vulnerable shape
cli-connect-002	./internal/cli/share	TestCliConnect002_ShareCreate_RoutesToRemoteWhenConfigured	default-ci	76dbc529	-	create.go's runCreate had no common.NewRemoteClient() guard, so a keyorix connect-configured operator running share create from a directory with a local keyorix.yaml would silently write to the local embedded DB instead of the remote server; re-verified 2026-09-09 red-then-green against the pre-#1395 unguarded shape
cli-connect-004	./internal/cli/share	TestCliConnect004_ShareCreateAndRevoke_UseRealActorNotHardcodedOne	default-ci	93c4a13e	-	create.go/update.go/revoke.go passed a literal 1 as SharedBy/UpdatedBy/revokedBy instead of the real acting actor, defeating sharing.go's requireLiveOwnerAuthority ownership gate for whichever user held ID 1; re-verified 2026-09-09 red-then-green against the pre-#G67 hardcoded-actor shape
cli-rbac-001	./internal/cli/rbac	TestCliRbac001_AssignRoleToGroup_EnforcesSoD	default-ci	76dbc529	-	runAssignRoleToGroup's embedded-mode path called st.AssignRoleToGroup directly, bypassing core.KeyorixCore's requireGroupGrantNoSoDViolation separation-of-duties gate; verified 2026-09-09 with red-then-green against the pre-#1395 raw-storage shape
cli-rbac-002	./internal/cli/rbac	TestCliRbac002_RemoveRoleFromGroup_EnforcesLastAdminLockout	default-ci	76dbc529	-	runRemoveRoleFromGroup's embedded-mode path called st.RemoveRoleFromGroup directly, bypassing core.KeyorixCore's guardLastGlobalAdminGroupRole last-global-admin lockout; verified 2026-09-09 with red-then-green against the pre-#1395 raw-storage shape
secret-delete-machine-actor-001	./server/http	TestConformance_DeleteSecret	default-ci	0561a805	1808	DeleteSecret handler (server/http/handlers/secrets_crud.go) unconditionally routed through the per-user owner/sharing permission check (userID != 0 required), so any machine-identity-authenticated caller got a misleading 500 on every delete regardless of the route's own scoped-permission gate; sibling handlers (GetSecret/GetSecretByName/GetSecretValueByRef) already had the correct isMachine bypass, DeleteSecret was the one call site missing it; found by the #1808 tranche-2 differential conformance harness, fixed same commit

# NOT LISTED, deliberately:
#   FIX-1 actorID==0 fast-path (internal/core/authz.go:614). The eight-site reroute
#   landed (#68e5116c) and actorIsMachine is threaded rather than hardcoded, but the
#   fast-path itself remains and is now DOCUMENTED as the local-CLI path. A documented
#   exception is a claim, not a fact -- 3 of 13 were false last time. It belongs in the
#   documented-exception sweep, not in this ledger, until a test settles it.
